"year","port","name","value","state","indian","fishery","metric","species","units","latitude","longitude"
"2010","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2010","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2010","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2010","Crescent City","July",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2010","Crescent City","Aug",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2010","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2010","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2010","Crescent City","Season",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2011","Crescent City","Apr",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2011","Crescent City","May",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2011","Crescent City","June",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2011","Crescent City","July",11,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2011","Crescent City","Aug",406,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2011","Crescent City","Sept",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
"2011","Crescent City","Oct",NA,"CA","","commercial","catch","Chinook","numbers",41.7558,-124.2026
